id_campanha,producto,canal,costo,fecha_inicio,fecha_fin
74,Adorno de pared,TV,"4,81",2024-03-20,2024-05-03
12,Tablet,RRSS,"3,4",2024-03-26,2024-05-13
32,Lámpara de mesa,Email,"5,54",2024-03-28,2024-04-20
21,Smartphone,RRSS,"6,37",2024-03-29,2024-05-16
58,Alfombra,Email,"4,25",2024-03-31,2024-05-05
85,SmartWatch,TV,"5,07",2024-04-01,2024-05-05
36,Plancha de vapor,Email,"5,41",2024-04-02,2024-06-01
57,Batidora,Email,"4,48",2024-04-10,2024-06-08
44,Adorno de pared,Email,"5,08",2024-04-13,2024-05-10
84,Parlantes Bluetooth,TV,"4,42",2024-04-17,2024-05-05
1,Cuadro decorativo,RRSS,"5,27",2024-04-27,2024-06-04
43,Cortinas,Email,"5,67",2024-05-02,2024-06-17
50,Consola de videojuegos,Email,"4,97",2024-05-03,2024-05-28
34,Heladera,Email,"4,2",2024-05-06,2024-07-05
15,Jarrón decorativo,RRSS,"4,65",2024-05-09,2024-06-13
46,Lavadora,Email,"3,63",2024-05-12,2024-05-29
29,Televisor,RRSS,"3,96",2024-05-17,2024-06-28
67,Proyector,TV,"3,68",2024-05-22,2024-07-12
76,Lavadora,TV,"4,66",2024-05-26,2024-07-02
51,Smartphone,Email,"4,65",2024-05-28,2024-06-15
69,Candelabro,TV,"3,25",2024-05-29,2024-06-30
2,Lámpara de mesa,RRSS,"5,88",2024-05-30,2024-06-29
4,Heladera,RRSS,"4,53",2024-05-31,2024-07-15
83,Espejo decorativo,TV,"5,24",2024-05-31,2024-07-08
47,Auriculares,Email,"4,19",2024-06-02,2024-07-22
45,Jarrón decorativo,Email,"4,52",2024-06-05,2024-07-31
71,Freidora eléctrica,TV,"4,37",2024-06-05,2024-07-24
38,Rincón de plantas,Email,"5,76",2024-06-14,2024-07-15
49,Cafetera,Email,"5,2",2024-06-20,2024-07-22
40,Aspiradora,Email,"6,24",2024-06-24,2024-08-12
22,Elementos de cerámica,RRSS,"5,44",2024-06-26,2024-07-15
37,Proyector,Email,"3,22",2024-07-06,2024-07-26
72,Tablet,TV,"4,9",2024-07-08,2024-09-03
64,Heladera,TV,"4,38",2024-07-10,2024-08-09
42,Tablet,Email,"4,42",2024-07-14,2024-09-03
17,Auriculares,RRSS,"6,06",2024-07-15,2024-08-15
20,Consola de videojuegos,RRSS,"3,16",2024-07-15,2024-08-03
18,Cámara digital,RRSS,"5,46",2024-07-16,2024-09-13
39,Candelabro,Email,"6,08",2024-07-17,2024-08-18
53,Espejo decorativo,Email,"4,9",2024-07-17,2024-08-01
3,Secadora,RRSS,"5,1",2024-07-24,2024-08-30
88,Alfombra,TV,"7,39",2024-07-25,2024-08-31
7,Proyector,RRSS,"5,57",2024-07-30,2024-08-16
35,Horno eléctrico,Email,"5,65",2024-07-31,2024-09-29
78,Cámara digital,TV,"4,1",2024-08-02,2024-09-20
8,Rincón de plantas,RRSS,"4,88",2024-08-03,2024-08-18
56,Microondas,Email,"4,94",2024-08-06,2024-08-25
54,Parlantes Bluetooth,Email,"2,95",2024-08-09,2024-09-22
79,Cafetera,TV,"7,26",2024-08-13,2024-10-11
16,Lavadora,RRSS,"3,56",2024-08-14,2024-09-20
31,Cuadro decorativo,Email,"5,28",2024-08-15,2024-09-12
73,Cortinas,TV,"6,47",2024-08-17,2024-09-26
10,Aspiradora,RRSS,"7,16",2024-08-19,2024-09-19
19,Cafetera,RRSS,"5,7",2024-08-19,2024-09-15
5,Horno eléctrico,RRSS,"5,16",2024-08-22,2024-10-17
62,Lámpara de mesa,TV,"4,51",2024-08-26,2024-10-07
87,Batidora,TV,"6,28",2024-08-27,2024-10-11
23,Espejo decorativo,RRSS,"4,75",2024-08-28,2024-10-17
82,Elementos de cerámica,TV,"5,69",2024-09-08,2024-10-12
52,Elementos de cerámica,Email,"5,74",2024-09-09,2024-09-30
13,Cortinas,RRSS,"5,22",2024-09-16,2024-10-15
24,Parlantes Bluetooth,RRSS,6,2024-09-22,2024-10-26
6,Plancha de vapor,RRSS,"4,02",2024-09-24,2024-11-02
26,Microondas,RRSS,5,2024-09-25,2024-10-14
86,Microondas,TV,"4,25",2024-09-25,2024-11-15
60,Laptop,Email,"4,89",2024-09-28,2024-10-27
81,Smartphone,TV,"4,78",2024-09-28,2024-10-24
66,Plancha de vapor,TV,"4,69",2024-10-04,2024-10-23
9,Candelabro,RRSS,"5,32",2024-10-08,2024-11-16
55,SmartWatch,Email,"4,59",2024-10-13,2024-12-06
14,Adorno de pared,RRSS,"4,16",2024-10-22,2024-12-21
30,Laptop,RRSS,"4,68",2024-10-23,2024-11-24
65,Horno eléctrico,TV,"3,08",2024-10-23,2024-12-11
48,Cámara digital,Email,"6,84",2024-10-31,2024-12-09
27,Batidora,RRSS,"4,52",2024-11-01,2024-12-08
80,Consola de videojuegos,TV,"4,64",2024-11-01,2024-11-20
63,Secadora,TV,"5,69",2024-11-03,2024-11-28
75,Jarrón decorativo,TV,"4,1",2024-11-03,2024-12-25
61,Cuadro decorativo,TV,"5,3",2024-11-05,2024-12-23
77,Auriculares,TV,"4,99",2024-11-11,2024-12-06
90,Laptop,TV,"5,62",2024-11-16,2025-01-13
59,Televisor,Email,"4,19",2024-11-20,2025-01-19
25,SmartWatch,RRSS,"4,84",2024-11-23,2024-12-29
41,Freidora eléctrica,Email,"3,92",2024-11-23,2025-01-01
28,Alfombra,RRSS,"5,82",2024-11-27,2025-01-08
70,Aspiradora,TV,"3,06",2024-12-13,2024-12-29
89,Televisor,TV,"4,98",2024-12-13,2025-02-08
68,Rincón de plantas,TV,"5,81",2024-12-17,2025-02-14
33,Secadora,Email,"3,8",2024-12-20,2025-01-07
11,Freidora eléctrica,RRSS,"5,27",2024-12-29,2025-01-21
,,,0,1899-12-30,1899-12-30